"invoice_id","customer_id","invoice_date","billing_country","total"
"318","7","2024-10-29","Austria","5.94"
"319","13","2024-11-01","Brazil","8.91"
"320","22","2024-11-06","USA","13.86"
"321","36","2024-11-14","Germany","0.99"
"322","37","2024-11-27","Germany","1.98"
"323","39","2024-11-27","France","1.98"
"324","41","2024-11-28","France","3.96"
"325","45","2024-11-29","Hungary","5.94"
"326","51","2024-12-02","Sweden","8.91"
"327","1","2024-12-07","Brazil","13.86"
"328","15","2024-12-15","Canada","0.99"
"329","16","2024-12-28","USA","1.98"
"330","18","2024-12-28","USA","1.98"
"331","20","2024-12-29","USA","3.96"
"332","24","2024-12-30","USA","5.94"
"333","30","2025-01-02","Canada","8.91"
"334","39","2025-01-07","France","13.86"
"335","53","2025-01-15","United Kingdom","0.99"
"336","54","2025-01-28","United Kingdom","1.98"
"337","56","2025-01-28","Argentina","1.98"
"338","58","2025-01-29","India","3.96"
"339","3","2025-01-30","Canada","5.94"
"340","9","2025-02-02","Denmark","8.91"
"341","18","2025-02-07","USA","13.86"
"342","32","2025-02-15","Canada","0.99"
"343","33","2025-02-28","Canada","1.98"
"344","35","2025-02-28","Portugal","1.98"
"345","37","2025-03-01","Germany","3.96"
"346","41","2025-03-02","France","5.94"
"347","47","2025-03-05","Italy","8.91"
"348","56","2025-03-10","Argentina","13.86"
"349","11","2025-03-18","Brazil","0.99"
"350","12","2025-03-31","Brazil","1.98"
"351","14","2025-03-31","Canada","1.98"
"352","16","2025-04-01","USA","3.96"
"353","20","2025-04-02","USA","5.94"
"354","26","2025-04-05","USA","8.91"
"355","35","2025-04-10","Portugal","13.86"
"356","49","2025-04-18","Poland","0.99"
"357","50","2025-05-01","Spain","1.98"
"358","52","2025-05-01","United Kingdom","1.98"
"359","54","2025-05-02","United Kingdom","3.96"
"360","58","2025-05-03","India","5.94"
"361","5","2025-05-06","Czech Republic","8.91"
"362","14","2025-05-11","Canada","13.86"
"363","28","2025-05-19","USA","0.99"
"364","29","2025-06-01","Canada","1.98"
"365","31","2025-06-01","Canada","1.98"
"366","33","2025-06-02","Canada","3.96"
"367","37","2025-06-03","Germany","5.94"
"368","43","2025-06-06","France","8.91"
"369","52","2025-06-11","United Kingdom","13.86"
"370","7","2025-06-19","Austria","0.99"
"371","8","2025-07-02","Belgium","1.98"
"372","10","2025-07-02","Brazil","1.98"
"373","12","2025-07-03","Brazil","3.96"
"374","16","2025-07-04","USA","5.94"
"375","22","2025-07-07","USA","8.91"
"376","31","2025-07-12","Canada","13.86"
"377","45","2025-07-20","Hungary","0.99"
"378","46","2025-08-02","Ireland","1.98"
"379","48","2025-08-02","Netherlands","1.98"
"380","50","2025-08-03","Spain","3.96"
"381","54","2025-08-04","United Kingdom","5.94"
"382","1","2025-08-07","Brazil","8.91"
"383","10","2025-08-12","Brazil","13.86"
"384","24","2025-08-20","USA","0.99"
"385","25","2025-09-02","USA","1.98"
"386","27","2025-09-02","USA","1.98"
"387","29","2025-09-03","Canada","3.96"
"388","33","2025-09-04","Canada","5.94"
"389","39","2025-09-07","France","8.91"
"390","48","2025-09-12","Netherlands","13.86"
"391","3","2025-09-20","Canada","0.99"
"392","4","2025-10-03","Norway","1.98"
"393","6","2025-10-03","Czech Republic","1.98"
"394","8","2025-10-04","Belgium","3.96"
"395","12","2025-10-05","Brazil","5.94"
"396","18","2025-10-08","USA","8.91"
"397","27","2025-10-13","USA","13.86"
"398","41","2025-10-21","France","0.99"
"399","42","2025-11-03","France","1.98"
"400","44","2025-11-03","Finland","1.98"
"401","46","2025-11-04","Ireland","3.96"
"402","50","2025-11-05","Spain","5.94"
"403","56","2025-11-08","Argentina","8.91"
"404","6","2025-11-13","Czech Republic","25.86"
"405","20","2025-11-21","USA","0.99"
"406","21","2025-12-04","USA","1.98"
"407","23","2025-12-04","USA","1.98"
"408","25","2025-12-05","USA","3.96"
"409","29","2025-12-06","Canada","5.94"
"410","35","2025-12-09","Portugal","8.91"
"411","44","2025-12-14","Finland","13.86"
"412","58","2025-12-22","India","1.99"
